daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
daemon pid:  19580 , ppid:  11308
